Country,score,pluralism,functioning,participation,culture,liberty,label
Norway,9.93,10,9.64,10,10,10,Fulldemocracy
Iceland,9.58,10,9.29,8.89,10,9.71,Fulldemocracy
Sweden,9.45,9.58,9.64,8.33,10,9.71,Fulldemocracy
NewZealand,9.26,10,9.29,8.89,8.13,10,Fulldemocracy
Denmark,9.11,9.17,9.29,8.33,9.38,9.41,Fulldemocracy
Switzerland,9.09,9.58,9.29,7.78,9.38,9.41,Fulldemocracy
Canada,9.08,9.58,9.29,7.78,8.75,10,Fulldemocracy
Finland,9.03,10,8.93,7.78,8.75,9.71,Fulldemocracy
Australia,9.01,9.58,8.93,7.78,8.75,10,Fulldemocracy
Netherlands,8.92,9.58,8.57,8.89,8.13,9.41,Fulldemocracy
Luxembourg,8.88,10,9.29,6.67,8.75,9.71,Fulldemocracy
Ireland,8.85,9.58,7.5,7.78,9.38,10,Fulldemocracy
Germany,8.64,9.58,8.57,7.78,8.13,9.12,Fulldemocracy
Austria,8.54,9.58,7.86,8.33,7.5,9.41,Fulldemocracy
Malta,8.39,9.17,8.21,6.11,8.75,9.71,Fulldemocracy
UnitedKingdom,8.31,9.58,7.14,6.67,8.75,9.41,Fulldemocracy
Spain,8.3,9.58,7.14,7.22,8.13,9.41,Fulldemocracy
Mauritius,8.28,9.17,8.21,5.56,8.75,9.71,Fulldemocracy
Uruguay,8.17,10,8.93,4.44,7.5,10,Fulldemocracy
UnitedStates,8.05,9.17,7.5,7.22,8.13,8.24,Fulldemocracy
Italy,7.98,9.58,6.43,7.22,8.13,8.53,Flaweddemocracy
SouthKorea,7.97,8.75,7.86,7.22,7.5,8.53,Flaweddemocracy
Japan,7.96,9.17,8.21,6.11,7.5,8.82,Flaweddemocracy
CostaRica,7.96,9.58,7.5,6.11,6.88,9.71,Flaweddemocracy
CzechRepublic,7.94,9.58,7.14,6.67,6.88,9.41,Flaweddemocracy
Belgium,7.93,9.58,8.21,5.56,6.88,9.41,Flaweddemocracy
France,7.92,9.58,7.14,7.78,6.25,8.82,Flaweddemocracy
Botswana,7.87,9.17,7.14,6.11,7.5,9.41,Flaweddemocracy
Estonia,7.85,9.58,7.86,6.11,6.88,8.82,Flaweddemocracy
Chile,7.84,9.58,8.57,4.44,6.88,9.71,Flaweddemocracy
Taiwan,7.83,9.58,7.86,6.67,5.63,9.41,Flaweddemocracy
CapeVerde,7.81,9.17,7.86,6.67,6.25,9.12,Flaweddemocracy
Portugal,7.79,9.58,6.43,6.67,6.88,9.41,Flaweddemocracy
Israel,7.77,9.17,7.14,8.89,7.5,6.18,Flaweddemocracy
India,7.74,9.58,7.14,7.22,5.63,9.12,Flaweddemocracy
Slovenia,7.57,9.58,7.14,6.67,5.63,8.82,Flaweddemocracy
SouthAfrica,7.56,8.33,8.21,8.33,5,7.94,Flaweddemocracy
Lithuania,7.54,9.58,6.07,6.11,6.25,9.71,Flaweddemocracy
Cyprus,7.53,9.17,6.43,6.67,6.25,9.12,Flaweddemocracy
Greece,7.45,9.58,5.36,6.67,6.25,9.41,Flaweddemocracy
Jamaica,7.39,9.17,6.79,5,6.88,9.12,Flaweddemocracy
Latvia,7.37,9.58,5.71,5.56,6.88,9.12,Flaweddemocracy
Slovakia,7.29,9.58,7.5,5.56,5,8.82,Flaweddemocracy
Timor-Leste,7.24,8.67,7.14,5.56,6.88,7.94,Flaweddemocracy
Panama,7.19,9.58,6.43,6.11,5,8.82,Flaweddemocracy
Bulgaria,7.14,9.17,6.07,7.22,5,8.24,Flaweddemocracy
TrinidadandTobago,7.1,9.58,7.14,5.56,5,8.24,Flaweddemocracy
Poland,7.09,9.58,5.71,6.67,4.38,9.12,Flaweddemocracy
Indonesia,7.03,7.75,7.14,6.67,6.25,7.35,Flaweddemocracy
Argentina,7.02,9.17,5,6.11,6.88,7.94,Flaweddemocracy
Brazil,6.96,9.58,6.79,5.56,3.75,9.12,Flaweddemocracy
Croatia,6.93,9.17,6.07,5.56,5.63,8.24,Flaweddemocracy
Ghana,6.86,8.33,5.71,6.67,6.25,7.35,Flaweddemocracy
Philippines,6.84,8.33,5.71,6.67,4.38,9.12,Flaweddemocracy
Hungary,6.84,9.17,6.07,4.44,6.88,7.65,Flaweddemocracy
Suriname,6.77,9.17,6.43,5,5,8.24,Flaweddemocracy
Tunisia,6.72,7,6.07,7.78,6.88,5.88,Flaweddemocracy
Serbia,6.71,9.17,5.36,6.67,5,7.35,Flaweddemocracy
Romania,6.68,9.17,5.71,5,5,8.53,Flaweddemocracy
