Country,score
Norway,9.93
Iceland,9.58
Sweden,9.45
NewZealand,9.26
Denmark,9.11
Switzerland,9.09
Canada,9.08
Finland,9.03
Australia,9.01
Netherlands,8.92
Luxembourg,8.88
Ireland,8.85
Germany,8.64
Austria,8.54
Malta,8.39
UnitedKingdom,8.31
Spain,8.3
Mauritius,8.28
Uruguay,8.17
UnitedStates,8.05
Italy,7.98
SouthKorea,7.97
Japan,7.96
CostaRica,7.96
CzechRepublic,7.94
Belgium,7.93
France,7.92
Botswana,7.87
Estonia,7.85
Chile,7.84
Taiwan,7.83
CapeVerde,7.81
Portugal,7.79
Israel,7.77
India,7.74
Slovenia,7.57
SouthAfrica,7.56
Lithuania,7.54
Cyprus,7.53
Greece,7.45
Jamaica,7.39
Latvia,7.37
Slovakia,7.29
Timor-Leste,7.24
Panama,7.19
Bulgaria,7.14
TrinidadandTobago,7.1
Poland,7.09
Indonesia,7.03
Argentina,7.02
Brazil,6.96
Croatia,6.93
Ghana,6.86
Philippines,6.84
Hungary,6.84
Suriname,6.77
Tunisia,6.72
Serbia,6.71
Romania,6.68
DominicanRepublic,6.67
ElSalvador,6.64
Mongolia,6.62
Colombia,6.62
Lesotho,6.59
Peru,6.58
Mexico,6.55
HongKong,6.5
Malaysia,6.43
SriLanka,6.42
Moldova,6.35
Paraguay,6.33
Namibia,6.31
Zambia,6.28
Singapore,6.14
Senegal,6.08
Guyana,6.05
PapuaNewGuinea,6.03
Macedonia,6.02
Montenegro,6.01
Guatemala,5.92
Albania,5.91
Georgia,5.88
Ecuador,5.87
Honduras,5.84
Bolivia,5.75
Bangladesh,5.73
Benin,5.72
Ukraine,5.7
Mali,5.7
Fiji,5.69
Tanzania,5.58
Malawi,5.55
Kyrgyzstan,5.33
Kenya,5.33
Nicaragua,5.26
Uganda,5.22
Turkey,5.12
Thailand,5.09
Venezuela,5
Liberia,4.95
Bhutan,4.93
Lebanon,4.86
Madagascar,4.85
BosniaandHerzegovina,4.83
Nepal,4.77
BurkinaFaso,4.7
Morocco,4.66
Nigeria,4.62
Mozambique,4.6
Palestine,4.57
SierraLeone,4.55
Pakistan,4.4
Cambodia,4.27
Myanmar,4.14
Iraq,4.08
Armenia,4
Mauritania,3.96
Algeria,3.95
Haiti,3.94
Jordan,3.86
Kuwait,3.85
Niger,3.85
Ethiopia,3.83
Gabon,3.76
Comoros,3.71
Cameroon,3.66
Belarus,3.62
Vietnam,3.53
Cuba,3.52
Togo,3.41
Angola,3.35
IvoryCoast,3.31
Russia,3.31
Egypt,3.18
Qatar,3.18
Guinea,3.14
China,3.14
Swaziland,3.09
Rwanda,3.07
Kazakhstan,3.06
Zimbabwe,3.05
Oman,3.04
Gambia,2.97
DemocraticRepublicoftheCongo,2.91
Djibouti,2.9
Bahrain,2.79
Afghanistan,2.77
UnitedArabEmirates,2.75
Azerbaijan,2.71
Burundi,2.49
Sudan,2.37
Eritrea,2.37
Libya,2.25
Yemen,2.24
Laos,2.21
Iran,2.16
RepublicoftheCongo,2.11
Uzbekistan,1.95
Tajikistan,1.95
Guinea-Bissau,1.93
SaudiArabia,1.93
Turkmenistan,1.83
EquatorialGuinea,1.77
CentralAfricanRepublic,1.57
Chad,1.5
Syria,1.43
NorthKorea,1.08
